Типы дефектов,Число дефектов
Сбой в оси (перегрев),30
Сбой в оси (механический износ),25
Электрическая неисправность (кабели),14
Трещины в суставе оси,4
Сбой в оси (калибровка),5
Неисправность сервомотора оси,8
Ошибки в ПО управления,2
Сбой датчика положения оси,1
Износ подшипника оси,1
Короткое замыкание в цепи,1
Смещение калибровки оси,1
Деформация кожуха оси,1
Неправильная синхронизация осей,1
Вибрация при движении оси,1
Перегрев контроллера,1
Сбой в системе охлаждения,1
Пятна коррозии на корпусе,1
Отказ энкодера оси,1
Прочие мелкие сбои,1